serial_no,exam_name,question,options/A,options/B,options/C,options/D,answer,explanation
816,MAT 2022-2023,মানবদেহে কোনটি লুপ্তপ্রায় অংগ?,থাইরয়েড গ্ল্যান্ড,থাইমাস,স্ক্যাপুলা,ক্যানাইন দাঁত,B,"মানবদেহের লুপ্তপ্রায় অঙ্গগুলো হলো থাইমাস গ্রন্থি, আক্কেল দাঁত, কর্তন দাঁত, পুচ্ছাস্থি, গায়ের লোম, উপপল্লব ইত্যাদি।"
372,MAT 2018-2019,কোনটি মানুষের পশ্চাৎ মস্তিষ্কের অংশ নয়?,মেডুলা অবলংগাটা,পনস,সেরেবেলাম,থ্যালামাস,D,"পশ্চাৎ মস্তিষ্কের অংশসমূহ: সেরেবেলাম, মেডুলা অবলংগাটা, পনস।
অগ্রমস্তিষ্কের অংশ: সেরেব্রাম, থ্যালামাস, হাইপোথ্যালামাস।
মধ্যমস্তিষ্কের অংশ: টেকটাম, সেরেব্রাল অ্যাকুইডাক্ট, কর্পোরা কোয়াড্রিজেমিনা, সেরেব্রাল পেডাঙ্কল।"
522,MAT 2006-2007,স্বরতন্ত্রীর অবস্থান হচ্ছে-,গলবিল,ট্রাকিয়া বা শ্বাসনালি,নাসাগহ্বর,ল্যারিংক্স,D,"স্বরযন্ত্র বা ল্যারিংস:
এটি শ্বাসনালিতে উন্মুক্ত হয়।
এর দুপাশে ২টি করে পাতলা মাংসপেশি আছে, এরাই স্বরতন্ত্রী বা ভোকাল কর্ড (Vocal cord)।
এটি কয়েকটি তরুণাস্থি দ্বারা গঠিত। এদের মধ্যে থাইরয়েড তরুণাস্থি সবচেয়ে বড়।
স্বরযন্ত্রের উপরিভাগের জিহ্বাকৃতির ঢাকনাকে উপজিহ্বা বা এপিগ্লটিস (epiglottis) বলা হয়।"
405,MAT 2017-2018,হেনলির লুপের অবস্থান বৃক্কের কোথায়?,বৃক্কীয় নালিকায়,রেনাল করপাসলে,এফারেন্ট ধমনিকাতে,ইফারেন্ট ধমনিকাতে,A,"বৃক্কের কার্যকরী একক নেফ্রন। নেফ্রণের ২টি প্রধান অংশ:
i. রেনাল করপাসল (২টি অংশ):
রেনাল ক্যাপসুল
গ্লোমেরুলাস
ii. রেনাল টিউব্যুল (৪টি অংশ):
প্রক্সিমাল প্যাঁচানো নালিকা
লুপ অব হেনলি
ডিস্টাল প্যাঁচানো নালিকা
সংগ্রাহী নালী"
412,MAT 2016-2017,ফিলোসফিকা জুওলজিক' গ্রন্থের রচয়িতা কে?,ডারউইন,ল্যামার্ক,দ্য ভিস,ভাইজম্যান,B,"ল্যামার্ক ছিলেন একজন ফরাসি দার্শনিক ও প্রকৃতিবিজ্ঞানী।
তার লেখা ‘ফিলোসফিকা জুওলজিক’ (১৮০৯) গ্রন্থে ল্যামার্কিজম মতবাদ প্রকাশিত হয়।"
482,AFMC 2020-2021,"চিকিৎসাবিদ্যার কোন শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয়?",Obesity,Geriatrics,Bariatrics,Pediatrics,C,"চিকিৎসাবিদ্যার যে শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয় তাকে Bariatrics বলা হয়।
অন্যান্য অপশন সম্পর্কিত তথ্য:
Obesity: স্থূলতা।
Geriatrics: বয়স্ক মানুষের চিকিৎসাবিদ্যা।
Pediatrics: শিশুদেহের চিকিৎসাবিষয়ক শাখা।"
170,DAT 2024-2025,কোন গ্রন্থি আমিষ শোষণ নিয়ন্ত্রণ করে?,যকৃত,অগ্ন্যাশয়,থাইমাস,থাইরয়েড,D,কার্বোহাইড্রেট শোষণ নিয়ন্ত্রণ করে -> ইনসুলিন এবং গ্লুকোকটিকয়েড হরমোন। আমিষ এবং লিপিড শোষণ নিয়ন্ত্রণ করে -> থাইরক্সিন হরমোন যা থাইরয়েড গ্রন্থি থেকে নিঃসৃত হয়।
836,DAT 2021-2022,আমাদের জাতীয় পাখির বৈজ্ঞানিক নাম কি?,Gracula religiosa,Copsychus saularis,Passer domesticus,Columba livia,B,আমাদের জাতীয় পাখি দোয়েলের বৈজ্ঞানিক নাম Copsychus saularis
78,AFMC 2019-2020,পেসমেকারে কোন ব্যাটারি ব্যবহৃত হয়?,লিথিয়াম,লেড,পটাশিয়াম,কার্বনিয়াম,A,"একটি লিথিয়াম ব্যাটারি, কম্পিউটারাইজড জেনারেটর ও শীর্ষেসেন্সরযুক্ত কতগুলো তার নিয়ে একটি পেসমেকার গঠিত হয়।"
966,MAT 2020-2021,ভ্রূণে লোহিত কণিকাসমূহ নিম্নের কোথায় তৈরি হয়?,থাইমাস,অগ্ন্যাশয়,প্লীহা,অস্থি মজ্জা,"A,C","ভ্রূণীয় জীবনে লোহিত কণিকাসমূহ কুসুম থলি (৩ সপ্তাহ বয়সে) যকৃত, প্লীহা ও থাইমাস (৬ মাস বয়স পর্যন্ত) থেকে উৎপন্ন হয়। আর, ভূমিষ্ট হওয়ার সময় থেকে পশুকা, কশেরুকা, স্টার্নাম ও শ্রোণিচক্রের লাল অস্থিমজ্জায় অবস্থিত বড় নিউক্লিয়াসযুক্ত এরিথ্রোব্লাস্ট নামক স্টেমকোষ থেকে অবিরাম লোহিত কণিকা সৃষ্টি হয়।"
83,AFMC 2019-2020,অত্যাবশ্যকীয় অ্যামিনো এসিড নয় কোনটি?,হিস্টিডিন,আইসোলিউসিন,লাইসিন,অ্যালানিন,C,"খাদ্যে উপস্থিতির প্রয়োজনীয়তার ভিত্তিতে অ্যামিনো অ্যাসিড দুই ভাগে বিভক্ত। যথা-
১। অত্যাবশ্যকীয় অ্যামিনো অ্যাসিড। এরা দেহাভ্যন্তরে সংশ্লেষিত হয় না। উদাহরণ- লিউসিন, আইসোলিউসিন, লাইসিন, থ্রিওনিন, ভ্যালিন, মেথিওনিন, ফিনাইল অ্যালানিন এবং ট্রিপটোফ্যান (৮টি)। শিশুদের জন্য অত্যাবশ্যকীয় অ্যামিনো অ্যাসিড ১০টি। অতিরিক্ত- আরজিনিন ও হিস্টিডিন।
২। অনাত্যাবশ্যকীয় অ্যামিনো অ্যাসিড: এরা দেহাভ্যন্তরে সংশ্লেষিত হতে পারে। সংখ্যায় ১২টি এবং শিশুদের ক্ষেত্রে ১০টি।"
738,MAT 2015-2016,কোন ভিটামিন পানিতে দ্রবণীয়?,ভিটামিন A,ভিটামিন D,ভিটামিন B কমপ্লেক্স,ভিটামিন K,C,পানিতে দ্রবণীয় ভিটামিন হলো ভিটামিন B এবং ভিটামিন C।
904,MAT 2024-2025,এনজিওপ্লাস্টি করলে কি হয়?,হৃদস্পন্দন বৃদ্ধি পায়,সরু ধমনী প্রশস্ত হয়,হৃদস্পন্দনের গতি ধীর হয়,রক্ত সঞ্চালনের গতি বৃদ্ধি পায়,B,বড় ধরণের অস্ত্রোপচার না করে সংকীর্ণ লুমেনযুক্ত বা রুদ্ধ হয়ে যাওয়া করোনারি ধমনি পুনরায় প্রশস্ত লুমেনযুক্ত করা বা উন্মুক্ত করার পদ্ধতিকে এনজিওপ্লাস্টি বলে। এনজিওপ্লাস্টির উদ্দেশ্য হচ্ছে সরু বা বন্ধ হয়ে যাওয়া লুমেনের ভিতর দিয়ে হৃৎপিন্ডে পর্যাপ্ত O₂ সরবরাহ নিশ্চিত করে হৃৎপিন্ড ও দেহকে সচল রাখা।
291,DAT 2019-2020,নিচের কোন গ্রন্থিটি ক্যালসিয়াম বিপাকে সহায়তা করে?,প্যারাথাইরয়েড,থাইরয়েড,পিটুইটারি,অ্যাড্রেনাল,A,প্যারাথাইরয়েড গ্রন্থি থেকে নিঃসৃত প্যারাথাইরয়েড হরমোন বা প্যারাথরমোন বা প্যারাথাইরিন এর প্রধান কাজ ক্যালসিয়াম ও ফসফরাসের বিপাক নিয়ন্ত্রণ। এটি বৃক্কে ক্যালসিয়ামের পুনঃশোষণ বাড়িয়ে দিয়ে রক্তে ক্যালসিয়ামের মাত্রা বাড়ায় এবং ফসফেটের মাত্রা কমায়। থাইরয়েড গ্রন্থি নিঃসৃত ক্যালসিটোনিন রক্তে ক্যালসিয়ামের মাত্রা কমায়।
311,DAT 2018-2019,সিফিলিস রোগের জন্য দায়ী নিচের কোনটি?,Treponema pallidum,Neisseria gonorrhoeae,Treponema vagmalis,Trichomonas vaginalis,A,"যৌনবাহিত রোগের জীবাণু:
সিফিলিস → Treponema pallidum
গনোরিয়া → Neisseria gonorrhoeae
এইডস → HIV"
849,MAT 2021-2022,কোন এনজাইম আমিষ পরিপাকে সাহায্য করে?,ল্যাকটেজ,ট্রিপসিন,অ্যামাইলেজ,লাইপেজ,B,"ট্রিপসিন এনজাইম আমিষ পরিপাকে সাহায্য করে। ল্যাকটেজ, অ্যামাইলেজ এনজাইম শর্করা পরিপাকে সাহায্যে করে। লাইপেজ ফ্যাট পরিপাকে সাহায্য করে।"
100,AFMC 2018-2019,নিচের কোন প্রাণীটি ত্রিস্তরী?,অ্যামিবা,কেঁচো,হাইড্রা,ম্যালেরিয়া জীবাণু,B,"ত্রিস্তরী প্রাণীর উদাহরণ: কৃমি, শামুক, অক্টোপাস, কেঁচো,
জোঁক, চিংড়ি, মৌমাছি, ব্যাঙ, হাতি, মানুষ সবাই ত্রিস্তরী প্রাণী।"
490,MAT 2002-2003,শোষিত খাদ্যবস্তুর প্রোটোপ্লাজমে রূপান্তরকে বলে-,পরিপাক,শোষণ,আত্তীকরণ,অধিশোষণ,C,"আত্তীকরণ হলো শোষিত খাদ্যবস্তুর প্রোটোপ্লাজমে রূপান্তরের প্রক্রিয়া।
অন্যান্য অপশন:
পরিপাক — খাদ্যবস্তু গলাধঃকরন ও এনজাইমের সহায়তায় ভাঙ্গন।
শোষণ — খাদ্য পরিপাকের পর রক্তনালীর মাধ্যমে সারা দেহে ছড়িয়ে যাওয়ার প্রক্রিয়া।
অধিশোষণ — কোনো পদার্থের অন্য একটি পদার্থের পৃষ্ঠতলে সঞ্চিত বা কেন্দ্রীভূত হওয়া, অভ্যন্তরে প্রবেশ না করা।"
421,MAT 2016-2017,কোনটি ক্ষুদ্রান্ত্রের অংশ নয়?,ডিওডেনাম,ইলিয়াম,এপেনডিক্স,জেজুনাম,C,ক্ষুদ্রান্ত্রের তিনটি অংশ। যথা- ১) ডিওডেনাম ২) জেজুনাম ৩) ইলিয়াম। আর বৃহদান্ত্রের ৩টি অংশ হলো- ১) সিকাম ২) কোলন ৩) মলাশয়। সিকামের সাথে এপেনডিক্স সংযুক্ত থাকে। এপেনডিক্স একটি নিষ্ক্রিয় অঙ্গ যা উদরীয় টনসিল নামেও পরিচিত।
835,DAT 2021-2022,কোনটি Live attenuated ভ্যাক্সিন?,হাম,হেপাটাইটিস বি,টিটেনাস,ইনফ্লুয়েঞ্জা,A,"মিজলজ (হাম) → Live attenuated vaccine,
হেপাটাইটিস বি → Subunut vaccine,
টিটেনাস → Toxoid vaccine,
ইনফ্লুয়েঞ্জা → Killed or Inactivated vaccine."
766,AFMC 2020-2021,সন্তান প্রসবে কোন হরমোন সাহায্য করে?,অক্সিটোসিন,অক্সিন,টেস্টোস্টেরন,গোনাডোট্রপিন,A,শিশু প্রসব: ৪০তম সপ্তাহে অক্সিটসিন ও প্রোস্টাগ্লান্ডিন হরমোন দুটির সক্রিয়তায় জরায়ুর সংকোচন ঘটে। ফলে শিশু জরায়ু থেকে বাইরে আসতে পারে। এটি ৩টি ধাপে সম্পন্ন হয়।
782,MAT 2017-2018,স্ত্রী রুইমাছ ডিম পাড়ে কখন?,জানুয়ারি-মার্চ মাস,ফেব্রুয়ারি-মে মাস,জুন-আগস্ট মাস,সেপ্টেম্বর-জানুয়ারি মাস,C,স্ত্রী রুইমাছ সাধারণত বর্ষাকাল (জুন-জুলাই) মাসে প্রজননের জন্য তৈরি হয় এবং ডিম পাড়ে।
935,DAT 2021-2022,কোনটি Live attenuated ভ্যাক্সিন?,হাম,হেপাটাইটিস বি,টিটেনাস,ইনফ্লুয়েঞ্জা,A,"মিজলজ (হাম) → Live attenuated vaccine,
হেপাটাইটিস বি → Subunut vaccine,
টিটেনাস → Toxoid vaccine,
ইনফ্লুয়েঞ্জা → Killed or Inactivated vaccine."
982,AFMC 2019-2020,কত BMI কে স্বাভাবিক ওজন হিসেবে ধরা হয়?,25.2-29.1,21.5-23.9,18.5-24.9,10.1-14.8,C,"ওজন (কি.গ্রা.) / উচ্চতা (মিটার) → শ্রেনী
< ১৮.৫০→ওজনহীনতা
১৮.৫০ – ২৪.৯ → স্বাভাবিক
২৫.০০ – ২৯.৯ → ওজনাধিক্য
৩০.০০ – ৩৪.৯ → গ্রেড-১ স্থুলতা
৩৫.০০ – ৩৯.৯→ গ্রেড-২ স্থুলতা
> ৪০.০০ →গ্রেড-৩ স্থুলতা/ রোগ গ্রস্থ চূড়ান্ত পর্যায়ের স্থুলতা"
548,MAT 2010-2011,মানুষের গ্লোমেরুলাসে পরিদ্রুত মূত্র ADH এর প্রভাব ছাড়া নিম্নের (%) কতভাগ পুনঃশোষণ প্রক্রিয়ায় নেফ্রনের প্রক্সিমাল প্যাঁচানো নালিকায় শোষিত হয়?,20,40,60,80,C,"নেফ্রনের প্রক্সিমাল প্যাঁচানো নালিকায় প্রায় 60% পুনঃশোষণ ঘটে, বাকি 40% লুপ অব হেনলি, ডিস্টাল প্যাঁচানো নালিকা ও সংগ্রাহী নালিকায় শোষিত হয়।"
339,DAT 2017-2018,মোলার দাঁতের কাজ কোনটি?,খাবার টুকরা করা ও ছেঁড়া,খাবার টুকরা করা ও পেষণ করা,খাবার চর্বন করা ও পেষণ করা,খাবার ছোঁড়া ও চর্বন করা,B,"মোলার দাঁতের কাজ হচ্ছে খাবার টুকরা করা ও পেষণ করা, যা খাবারের পরিপাক প্রক্রিয়ায় সহায়তা করে।"
197,AFMC 2021-2022,প্যানক্রিয়াসের আইলেটস অব ল্যাঙ্গার হ্যান্স এর কোন কোষ (Cells) থেকে ইনসুলিন নিঃসৃত হয়?,আলফা কোষ,ডেলটা কোষ,পিপি কোষ,বিটা কোষ,D,আলফা কোষ থেকে গ্লুকাগন এবং বিটা কোষ থেকে ইনসুলিন নিঃসৃত হয়।
970,MAT 2020-2021,গ্রোথ হরমোন কোথায় তৈরি হয়?,Thalamus,Hypothalamus,Adrenal gland,Pituitary gland,D,"অগ্র পিটুইটারি গ্রন্থি থেকে বৃদ্ধিপোষক হরমোন (STH) বা Growth hormone তৈরি ও নিঃসৃত হয়। অগ্র পিটুইটারি গ্রন্থি থেকে আর যে সব হরমোন নিঃসৃত হয়- Prolactin, LH, ACTH, TSH, FSH ।"
354,DAT 2016-2017,সেরেব্রামের দুটি খণ্ডকে সংযোগকারী স্নায়ু গুচ্ছের নাম-,কর্পাস অ্যালবিকান্স,কর্পাস অ্যাটরেটিকাম,কর্পাস ক্যালোসাম,কর্পাস লুটিয়াম,C,কর্পাস ক্যালোসাম সেরেব্রামের দুটি খণ্ডকে সংযুক্ত করে।
572,MAT 2009-2010,নিম্নের কোন অস্থিতে মজ্জা গহ্বর নাই?,ইশ্চিয়াম,স্টার্নাম,কারপাল,ক্ল্যাভিকল,D,"ক্ল্যাভিকল অস্থিতে মজ্জা গহ্বর থাকে না, এটি পরিবর্তিত দীর্ঘ অস্থি।"
94,AFMC 2019-2020,দেহের ভারসাম্য রক্ষা করে কোনটি?,বহিঃকর্ণ,অন্তঃকর্ণ,মধ্যাকর্ণ,কোনটিই নয়,B,
353,DAT 2016-2017,পাকস্থলিতে কোন করোটিক স্নায়ুর কার্যক্রম বিদ্যমান?,অপটিক,অডিটরি,ভেগাস,অকুলোমোটর,C,"ভেগাস স্নায়ু স্বরযন্ত্র, হৃৎপিণ্ড, পাকস্থলি ও ফুসফুসে কার্যক্রম পরিচালনা করে।"
127,AFMC 2017-2018,মুখমন্ডলীয় অস্থিতে প্যালেটিন এর সংখ্যা কত?,৫,২,১,৮,B,মুখমন্ডলীয় অস্থিতে প্যালেটিন আছে-২টি
202,AFMC 2021-2022,শ্বসনতন্ত্রের উৎপত্তি কোথা থেকে হয়?,Endoderm,Ectoderm,Mesoderm,Teloderm,A,শ্বসনতন্ত্রের উৎপত্তি এন্ডোডার্ম থেকে হয়।
154,DAT 2024-2025,পূর্ণবয়স্ক সুস্থ মানুষের দু'টি ফুসফুসে আলভিওলাসের সংখ্যা কত?,২৫০ মিলিয়ন,৫০০ মিলিয়ন,৩০০ মিলিয়ন,৭০০ মিলিয়ন,D,"নবজাতক শিশুর ফুসফুসে ২০ মিলিয়ন, ৮ বছরের শিশুর ৩০০ মিলিয়ন এবং একজন পূর্ণবয়স্ক মানুষের ফুসফুসে প্রায় ৭০০ মিলিয়ন অ্যালভিওলাই থাকে।"
990,AFMC 2019-2020,গ্রন্থিরাজ বলা হয় কোনটিকে?,শুক্রাশয়,অগ্নাশয়,পিটুইটারি,লালা,C,"পিটুইটারি গ্রন্থি মস্তিষ্কের নিচের অংশে অবস্থিত। দেহের সবচেয়ে বেশি গুরুত্বপূর্ণনালিবিহীন গ্রন্থি হলেও এটি আকারে সবচেয়ে ক্ষুদ্র। এই গ্রন্থি থেকে গোনাডোট্রপিক, সোমাটোট্রপিক, থাইরয়েড উদ্দীপকে হরমোন, এডরেনোকর্টিকোট্রপিন ইত্যাদি হরমোন নিঃসৃতসৃ হয়। এই গ্রন্থি থেকে নিঃসৃতসৃ হরমোন সংখ্যায় যেমন বেশি, অপরদিকে অন্যান্য গ্রন্থির ওপর এসব হরমোনের প্রভাবও বেশি। এজন্য পিটুইটারি গ্রন্থিকে প্রধান/প্রভু গ্রন্থি বলা হয়।"
257,MAT 2019-2020,আন্তঃকশেরুকা চাকতিতে কী ধরনের তরুণাস্থি পাওয়া যায়?,স্থিতিস্থাপক তরুণাস্থি,চুনময় তরুণাস্থি,শ্বেত-তত্ত্বময় তরুণাস্থি,স্বচ্ছ তরুণাস্থি,C,"স্থিতিস্থাপক: বহিঃকর্ণ বা পিনা, ইউস্টেশিয়ান নালি, এপিগ্লটিস প্রভৃতি।
চুনময়: হিউমেরাস ও ফিমারের মস্তক।
শ্বেত-তত্ত্বময়: দুটি কশেরুকার মধ্যবর্তী অঞ্চল।
স্বচ্ছ: স্তন্যপায়ীর নাক, শ্বাসনালি, স্বরযন্ত্র এবং ব্যাঙ ও হাঙরের ভ্রূণ বা পরিণত দেহ প্রভৃতি।"
101,AFMC 2018-2019,রক্তে গ্লুকোজের মাত্রা নিয়ন্ত্রণে কোন সংবহনতন্ত্রের ভূমিকা রয়েছে?,পালমোনারি,সিস্টেমিক,যকৃত পোর্টালতন্ত্র,বৃক্কীয় পোর্টালতন্ত্র,C,"যকৃত পোর্টাল তন্ত্রের তাৎপর্য বা কাজ:
১. পরিপাককৃত ও রক্ত কর্তৃক শোষিত খাদ্যসার পোর্টালতন্ত্রের মাধ্যমে
যকৃতে পৌছালে ইনসুলিন নামক হরমোনের প্রভাবে রক্ত থেকে
অতিরিক্ত গ্লুকোজ যকৃত শোষণ করে এবং জমা রাখে।
২. আবার রক্তে গ্লুকোজের মাত্রা কমে গেলে হরমোনের প্রভাবে যকৃত
কোষ থেকে সঞ্চিত গ্লুকোজ পোর্টালতন্ত্রের কৈশিকনালির মাধ্যমে
রক্তস্রোতে আসে। এভাবে যকৃত পোর্টালতন্ত্র রক্তে গ্লুকোজের মাত্রা
নিয়ন্ত্রণ করে।"
234,MAT 2019-2020,কোষের কোথায় ক্রেবস চক্র (Krebs cycle) সংঘটিত হয়?,Cytoplasm,Ribosome,Mitochondria,Chloroplast,C,"ক্রেবস চক্র শ্বসনের একটি ধাপ যা মাইটোকন্ড্রিয়ার ম্যাট্রিক্সে সংঘটিত হয়। Sir Hans Adolf Krebs এটি আবিষ্কার করেন। গ্লাইকোলাইসিস ছাড়া শ্বসনের সবকটি বিক্রিয়া (ক্রেবস চক্র, ETS/ অক্সিডেটিভফসফোরাইলেশন) মাইটোকন্ড্রিয়ায় ঘটে থাকে।"
996,DAT 2021-2022,কোন কোষ বিভাজন পদ্ধতিতে RBC তৈরি হয়?,synopsis,mitosis,meiosis,amitiosis,B,মাইটোসিস পদ্ধতিতে লোহিত রক্তকণিকা তৈরী হয়।
848,MAT 2021-2022,কোনটি autosomal recessive disorder?,থ্যালাসেমিয়া,লাল-সবুজ বর্ণান্ধতা,রাতকানা,হিমোফিলিয়া,A,"লাল-সবুজ বর্ণান্ধতা, রাতকানা, হিমোফিলিয়া- Sex-linked disorder. থ্যালাসেমিয়া- autosomal recessive disorder."
493,MAT 2011-2012,নিম্নের কোন অঙ্গে লোহিত কণিকা ধ্বংস হয়?,প্লীহা,যকৃত,পাকস্থলী,বৃক্ক,"A,B","লোহিত কণিকার উৎপত্তি জন্মের একমাস পূর্বে যকৃত ও প্লীহায় হয়। জন্মের পর লোহিত অস্থিমজ্জা, হিউমেরাস ও ফিমারের মস্তক, কশেরুকা, পশুর্কা, করোটির চ্যাপ্টা অস্থিতে উৎপন্ন হয়।
লোহিত কণিকা ধ্বংস হয় মূলত যকৃত ও প্লীহায়।"
802,MAT 2024-2025,কোন এন্টিবডি প্রধানত এলার্জির সাথে সংশ্লিষ্ট?,IgA,IgM,IgG,IgE,D,"IgE → এটি দুর্লভ Ig, প্রদাহ সাড়া সক্রিয় করে, অ্যালার্জিক সাড়াদানে নেতিবাচক ভূমিকা রাখে।
IgG → গর্ভাবস্থায় অমরা অতিক্রম করে।
IgA → মায়ের বুকের দুধের মাধ্যমে শিশুতে স্থানান্তরিত হয়।"
621,MAT 2009-2010,নিম্নের কোনটি হৃদপিন্ডের সংকোচনের শক্তিকে বাড়ায়?,ইনসুলিন,ভেগাস,এডরেনালিন,প্যারাথরমোন,C,এডরেনালিনকে আপদকালীন হরমোন বলা হয়। এটি হৃদস্পন্দন বৃদ্ধি করে ও হৃদপিণ্ডের সংকোচনের শক্তি বাড়ায়।
559,MAT 1990-1991,হিউমেরাস কোন অস্থিটিকে বলা হয়?,অগ্রপদের অস্থি,হাতের অস্থি,বাহুর অস্থি,পায়ের অস্থি,C,হিউমেরাস হচ্ছে বাহুর অস্থি। এটি ঊর্ধ্ব বাহুর একক বৃহৎ অস্থি।
523,MAT 2006-2007,ব্রঙ্কিয়াল নালীগুলোর কোনটি সঠিক পর্যায়ক্রম?,মুখ্য ব্রংকাই- ব্রঙ্কিওল- গৌণ ব্রঙ্কাই- শ্বসন ব্রঙ্কিওল- প্রান্তীয় ব্রঙ্কিওল- অ্যালভিওলার থলি- অ্যালভিওলার নালী- অ্যালভিওথলি,মুখ্য ব্রংকাই- ব্রঙ্কিওল- গৌণ ব্রঙ্কাই- শ্বসন ব্রঙ্কিওল- প্রান্তীয় ব্রঙ্কিওল- অ্যালভিওলার নালী- অ্যালভিওলার থলি- অ্যালভিওলি,মুখ্য ব্রংকাই- গৌণ ব্রঙ্কাই- ব্রঙ্কিওল- শ্বসন ব্রঙ্কিওল- প্রান্তীয় ব্রঙ্কিওল- অ্যালভিওরার নালী- অ্যালভিওলার থলি- অ্যালভিওলি,মুখ্য বঙ্কাই- গৌণ ব্রঙ্কাই- ব্রঙ্কিওল- প্রান্তীয় ব্রঙ্কিওল- শ্বসন ব্রঙ্কিওল- অ্যালভিওলার নালী- অ্যালভিওলার থলি- অ্যালভিওলি,B,শ্বসন বৃক্ষের পর্যায়ক্রম: ট্রাকিয়া → Primary (মুখ্য) ব্রঙ্কাস → Secondary (গৌণ) ব্রঙ্কাস → Tertiary (সেগমেন্টাল) ব্রঙ্কাস → ব্রঙ্কিওল → টার্মিনাল ব্রঙ্কিওল → শ্বসন ব্রঙ্কিওল → অ্যালভিওলার নালী → অ্যালভিওলার থলি → অ্যালভিওলি।
789,MAT 2016-2017,প্রাপ্তবয়স্ক মানুষের মস্তিষ্কে নিউরনের সংখ্যা কত?,১০ মিলিয়ন,১০ কোটি,১০ বিলিয়ন,১০ লক্ষ,C,"মানব মস্তিষ্কের বৈশিষ্ট্য:
ওজন: প্রায় ১.৩৬ কেজি
আয়তন: প্রায় ১৫০০ ঘন সেন্টিমিটার
নিউরন সংখ্যা: প্রায় ১০০ বিলিয়ন (১ লক্ষ কোটি)"
541,MAT 2003-2004,প্রতিটি বৃক্কে নেফ্রন থাকে-,প্রায় ৮ থেকে ৯ লক্ষ,প্রায় ১২ থেকে ১৪ লক্ষ,প্রায় ১০ থেকে ১২ লক্ষ,প্রায় ১৩ থেকে ১৫ লক্ষ,C,প্রতিটি বৃক্কে প্রায় ১০ লক্ষ থেকে ১২ লক্ষ নেফ্রন থাকে।
792,MAT 2016-2017,"কনে হিমোফিলিয়া বাহক, বর সুস্থ, এদের সন্তানদের ক্ষেত্রে কোনটি মিথ্যা?",পুত্রদের অর্ধেক সুস্থ হবে,পুত্রদের সবাই সুস্থ হবে,পুত্রদের অর্ধেক হিমোফিলিয়ায় আক্রান্ত হবে,কন্যাদের অর্ধেক বাহক হবে,B,"স্বাভাবিক পুরুষ (XᴴY) × বাহক মহিলা (XᴴXʰ) হলে:
সন্তানের সম্ভাব্য জিনোটাইপ → ধরন
XᴴXᴴ →স্বাভাবিক কন্যা
XᴴXʰ →বাহক কন্যা
XᴴY →স্বাভাবিক পুত্র
XʰY → হিমোফিলিক পুত্র"
462,MAT 2014-2015,স্বাভাবিক মূত্রের বর্ণ হালকা হলুদ হয় কিসের উপস্থিতিতে?,বিলিভারডিন,ইউরোক্রোম,বিলিরুবিন,অ্যামোনিয়া,B,"ইউরোক্রোম এর প্রভাবে মূত্র স্বাভাবিক রং হালকা হলুদ (খড় রং) হয়।
 অন্যান্য অপশন সম্পর্কিত তথ্য:
বিলিরুবিন এর প্রভাবে মূত্রের বর্ণ হলুদ হয় (যখন জন্ডিস হয়)।
ইউরিনোড এর উপস্থিতির জন্য মূত্রের ঝাঁঝালো গন্ধ থাকে।"
907,MAT 2024-2025,পেসমেকারের কাজ কি?,রক্তকে তরল রাখে,রক্ত সঞ্চালন বৃদ্ধি করে,হৃদরোগ প্রতিরোধ করে,হৃদস্পন্দনের ধীরগতি নিয়ন্ত্রণ করে,D,হার্ট এটাক ঘটতে পারে এমন ধীর হৃৎস্পন্দন কিংবা হার্ট সার্জারির সময় জরুরী ভিত্তিতে অস্থায়ী পেসমেকার ব্যবহার করা হয়। পেসমেকার ব্যবহারে সব ধরণের অ্যারিথমিয়ার হাত থেকে রক্ষা পাওয়া যায়।
225,MAT 2019-2020,মানবদেহের রক্তে কোন বাফার দ্রবণ (buffer solution) থাকে?,NaHCO₃ and H₂CO₃,NH₄Cl and NH₄OH,CH₃COONa and CH₃COOH,Na₂HPO₄ and H₃PO₄,A,"মানবদেহের রক্তে তিন ধরনের বাফার সিস্টেম থাকে। যথা- বাইকার্বোনেট বাফার, ফসফেট বাফার ও প্রোটিন বাফার। হিমোগ্লোবিন উৎকৃষ্ট বাফাররূপে রক্তের 'বাইকার্বনেট-কার্বনিক এসিড বাফার'-এর সামান্য (2%) নিয়ন্ত্রণ করে। ফসফেট বাফার সিস্টেম হলো আন্তঃকোষীয় বাফার। আর, প্রোটিন বাফার সিস্টেমটি প্লাজমা প্রোটিন ও হিমোগ্লোবিন প্রোটিন সমন্বয়ে গঠিত।"
499,MAT 1988-1989,মানবদেহে রোগ প্রতিরোধক হিসাবে কাজ করে কোনটি?,হিমোগ্লোবিন,শ্বেতকণিকা,লোহিত কণিকা,অনুচক্রিকা,B,শ্বেত রক্তকণিকাকে আণুবীক্ষনিক সৈনিকও বলা হয়।
